Operation Phoenix Weapon Case->Negev | Terrain (Field-Tested) (blue)
Revolver Case->StatTrak™ Negev | Power Loader (Minimal Wear) (purple)
Revolver Case->SCAR-20 | Outbreak (Factory New) (blue)
Revolver Case->AUG | Ricochet (Minimal Wear) (blue)
Revolver Case->P2000 | Imperial (Factory New) (blue)
Revolver Case->R8 Revolver | Crimson Web (Well-Worn) (blue)
Revolver Case->Desert Eagle | Corinthian (Minimal Wear) (blue)
Revolver Case->Sawed-Off | Yorick (Minimal Wear) (blue)
Revolver Case->SCAR-20 | Outbreak (Field-Tested) (blue)
Revolver Case->AUG | Ricochet (Minimal Wear) (blue)
Revolver Case->AUG | Ricochet (Minimal Wear) (blue)
Revolver Case->Sawed-Off | Yorick (Battle-Scarred) (blue)
Revolver Case->P2000 | Imperial (Factory New) (blue)
Revolver Case->SCAR-20 | Outbreak (Field-Tested) (blue)
Revolver Case->Desert Eagle | Corinthian (Minimal Wear) (blue)
Revolver Case->P2000 | Imperial (Minimal Wear) (blue)
Revolver Case->R8 Revolver | Crimson Web (Field-Tested) (blue)
Revolver Case->G3SG1 | The Executioner (Battle-Scarred) (pink)
Revolver Case->Desert Eagle | Corinthian (Field-Tested) (blue)
Revolver Case->SCAR-20 | Outbreak (Minimal Wear) (blue)
Revolver Case->Desert Eagle | Corinthian (Well-Worn) (blue)
Revolver Case->P2000 | Imperial (Factory New) (blue)
Revolver Case->Sawed-Off | Yorick (Minimal Wear) (blue)
Revolver Case->R8 Revolver | Crimson Web (Field-Tested) (blue)
Revolver Case->Sawed-Off | Yorick (Well-Worn) (blue)
Revolver Case->AUG | Ricochet (Field-Tested) (blue)
Revolver Case->Desert Eagle | Corinthian (Factory New) (blue)
Revolver Case->StatTrak™ SCAR-20 | Outbreak (Factory New) (blue)
Revolver Case->AUG | Ricochet (Minimal Wear) (blue)
Revolver Case->Desert Eagle | Corinthian (Field-Tested) (blue)
Revolver Case->Sawed-Off | Yorick (Minimal Wear) (blue)
Revolver Case->Five-SeveN | Retrobution (Field-Tested) (purple)
Revolver Case->StatTrak™ SCAR-20 | Outbreak (Field-Tested) (blue)
Revolver Case->Sawed-Off | Yorick (Battle-Scarred) (blue)
Revolver Case->AUG | Ricochet (Field-Tested) (blue)
Revolver Case->Desert Eagle | Corinthian (Factory New) (blue)
Revolver Case->R8 Revolver | Crimson Web (Field-Tested) (blue)
Revolver Case->R8 Revolver | Crimson Web (Field-Tested) (blue)
Revolver Case->SCAR-20 | Outbreak (Factory New) (blue)
Revolver Case->Sawed-Off | Yorick (Field-Tested) (blue)
Fracture Case->Negev | Ultralight (Field-Tested) (blue)
Snakebite Case->AK-47 | Slate (Battle-Scarred) (purple)
Fracture Case->PP-Bizon | Runic (Field-Tested) (blue)
Dreams & Nightmares Case->MAG-7 | Foresight (Field-Tested) (blue)
Snakebite Case->Negev | dev_texture (Minimal Wear) (purple)
Fracture Case->P90 | Freight (Well-Worn) (blue)
Dreams & Nightmares Case->G3SG1 | Dream Glade (Well-Worn) (purple)
Recoil Case->Negev | Drop Me (Minimal Wear) (blue)
Dreams & Nightmares Case->StatTrak™ SCAR-20 | Poultrygeist (Well-Worn) (blue)
Dreams & Nightmares Case->MP5-SD | Necro Jr. (Minimal Wear) (blue)
Snakebite Case->Negev | dev_texture (Field-Tested) (purple)
Fracture Case->SG 553 | Ol' Rusty (Battle-Scarred) (blue)
Fracture Case->Negev | Ultralight (Field-Tested) (blue)
Revolver Case->AUG | Ricochet (Field-Tested) (blue)
Fracture Case->P90 | Freight (Battle-Scarred) (blue)
Fracture Case->SSG 08 | Mainframe 001 (Minimal Wear) (blue)
Clutch Case->AWP | Mortis (Field-Tested) (pink)
Clutch Case->XM1014 | Oxide Blaze (Field-Tested) (blue)
Snakebite Case->UMP-45 | Oscillator (Factory New) (blue)
Clutch Case->R8 Revolver | Grip (Battle-Scarred) (blue)
Revolver Case->Desert Eagle | Corinthian (Minimal Wear) (blue)
Snakebite Case->Nova | Windblown (Field-Tested) (blue)
Dreams & Nightmares Case->SCAR-20 | Poultrygeist (Minimal Wear) (blue)
Dreams & Nightmares Case->MAC-10 | Ensnared (Minimal Wear) (blue)
Snakebite Case->UMP-45 | Oscillator (Minimal Wear) (blue)
Recoil Case->UMP-45 | Roadblock (Battle-Scarred) (blue)
Revolver Case->Sawed-Off | Yorick (Field-Tested) (blue)
Revolver Case->StatTrak™ R8 Revolver | Crimson Web (Battle-Scarred) (blue)
Revolver Case->AUG | Ricochet (Field-Tested) (blue)
Fracture Case->MAC-10 | Allure (Field-Tested) (purple)
Fracture Case->PP-Bizon | Runic (Minimal Wear) (blue)
Revolver Case->XM1014 | Teclu Burner (Minimal Wear) (purple)
Revolver Case->P2000 | Imperial (Field-Tested) (blue)
Revolver Case->R8 Revolver | Crimson Web (Field-Tested) (blue)
Revolver Case->Sawed-Off | Yorick (Battle-Scarred) (blue)
Snakebite Case->Glock-18 | Clear Polymer (Field-Tested) (blue)
Fracture Case->SSG 08 | Mainframe 001 (Well-Worn) (blue)
Fracture Case->MAC-10 | Allure (Field-Tested) (purple)
Fracture Case->P90 | Freight (Battle-Scarred) (blue)
Clutch Case->MP9 | Black Sand (Minimal Wear) (blue)
Clutch Case->Five-SeveN | Flame Test (Battle-Scarred) (blue)
Recoil Case->Galil AR | Destroyer (Factory New) (blue)
Recoil Case->R8 Revolver | Crazy 8 (Well-Worn) (purple)
Revolution Case->StatTrak™ M4A1-S | Emphorosaur-S (Field-Tested) (purple)
Fracture Case->SG 553 | Ol' Rusty (Field-Tested) (blue)
Dreams & Nightmares Case->XM1014 | Zombie Offensive (Field-Tested) (purple)
Dreams & Nightmares Case->XM1014 | Zombie Offensive (Field-Tested) (purple)
Revolution Case->MAG-7 | Insomnia (Field-Tested) (blue)
Clutch Case->Nova | Wild Six (Field-Tested) (purple)
Dreams & Nightmares Case->SCAR-20 | Poultrygeist (Field-Tested) (blue)
Recoil Case->FAMAS | Meow 36 (Well-Worn) (blue)
Recoil Case->UMP-45 | Roadblock (Minimal Wear) (blue)
Recoil Case->MAC-10 | Monkeyflage (Field-Tested) (blue)
Recoil Case->MAC-10 | Monkeyflage (Well-Worn) (blue)
Recoil Case->Negev | Drop Me (Field-Tested) (blue)
Revolver Case->SCAR-20 | Outbreak (Minimal Wear) (blue)
Revolver Case->P2000 | Imperial (Minimal Wear) (blue)
Revolver Case->AUG | Ricochet (Field-Tested) (blue)
Revolver Case->AK-47 | Point Disarray (Field-Tested) (pink)
Revolver Case->Desert Eagle | Corinthian (Minimal Wear) (blue)
Revolver Case->R8 Revolver | Crimson Web (Field-Tested) (blue)
Revolver Case->AUG | Ricochet (Battle-Scarred) (blue)
Revolver Case->SCAR-20 | Outbreak (Minimal Wear) (blue)
Revolver Case->Desert Eagle | Corinthian (Factory New) (blue)
Revolver Case->SCAR-20 | Outbreak (Minimal Wear) (blue)
Revolver Case->P2000 | Imperial (Factory New) (blue)
Revolver Case->SG 553 | Tiger Moth (Minimal Wear) (purple)
Revolver Case->SCAR-20 | Outbreak (Field-Tested) (blue)
Revolver Case->Desert Eagle | Corinthian (Field-Tested) (blue)
Revolver Case->R8 Revolver | Crimson Web (Well-Worn) (blue)
Revolver Case->AUG | Ricochet (Factory New) (blue)
Revolver Case->AK-47 | Point Disarray (Minimal Wear) (pink)
Revolver Case->SCAR-20 | Outbreak (Field-Tested) (blue)
Revolver Case->AK-47 | Point Disarray (Field-Tested) (pink)
Revolver Case->Desert Eagle | Corinthian (Field-Tested) (blue)
Revolver Case->StatTrak™ P2000 | Imperial (Factory New) (blue)
Revolver Case->Desert Eagle | Corinthian (Minimal Wear) (blue)
Revolver Case->Sawed-Off | Yorick (Field-Tested) (blue)
Revolver Case->StatTrak™ R8 Revolver | Crimson Web (Minimal Wear) (blue)
Revolver Case->Sawed-Off | Yorick (Field-Tested) (blue)
Revolver Case->Sawed-Off | Yorick (Field-Tested) (blue)
Revolution Case->P250 | Re.built (Field-Tested) (blue)
Revolver Case->P2000 | Imperial (Minimal Wear) (blue)
Revolver Case->Desert Eagle | Corinthian (Field-Tested) (blue)
Revolver Case->Desert Eagle | Corinthian (Field-Tested) (blue)
Revolver Case->StatTrak™ AUG | Ricochet (Field-Tested) (blue)
Revolver Case->P2000 | Imperial (Factory New) (blue)
Revolver Case->SCAR-20 | Outbreak (Minimal Wear) (blue)
Revolver Case->Desert Eagle | Corinthian (Field-Tested) (blue)
Revolver Case->Desert Eagle | Corinthian (Field-Tested) (blue)
Revolver Case->PP-Bizon | Fuel Rod (Well-Worn) (purple)
Revolver Case->SCAR-20 | Outbreak (Minimal Wear) (blue)
Revolver Case->Desert Eagle | Corinthian (Factory New) (blue)
Revolver Case->AUG | Ricochet (Field-Tested) (blue)
Revolver Case->SCAR-20 | Outbreak (Factory New) (blue)
Revolver Case->StatTrak™ Five-SeveN | Retrobution (Well-Worn) (purple)
Revolver Case->SCAR-20 | Outbreak (Field-Tested) (blue)
Revolver Case->Sawed-Off | Yorick (Well-Worn) (blue)
Revolver Case->Sawed-Off | Yorick (Field-Tested) (blue)
Revolver Case->Desert Eagle | Corinthian (Field-Tested) (blue)
Revolver Case->SCAR-20 | Outbreak (Field-Tested) (blue)
Revolver Case->P2000 | Imperial (Field-Tested) (blue)
Revolver Case->R8 Revolver | Crimson Web (Field-Tested) (blue)
Revolver Case->AUG | Ricochet (Field-Tested) (blue)
Revolver Case->P2000 | Imperial (Minimal Wear) (blue)
Revolver Case->Five-SeveN | Retrobution (Minimal Wear) (purple)
Revolver Case->R8 Revolver | Crimson Web (Field-Tested) (blue)
Revolver Case->StatTrak™ Desert Eagle | Corinthian (Field-Tested) (blue)
Revolution Case->SCAR-20 | Fragments (Battle-Scarred) (blue)
Revolution Case->MP9 | Featherweight (Minimal Wear) (blue)
Revolver Case->AUG | Ricochet (Field-Tested) (blue)
Revolver Case->Sawed-Off | Yorick (Well-Worn) (blue)
Revolver Case->XM1014 | Teclu Burner (Field-Tested) (purple)
Revolver Case->Negev | Power Loader (Battle-Scarred) (purple)
Revolver Case->Sawed-Off | Yorick (Field-Tested) (blue)
Revolver Case->R8 Revolver | Crimson Web (Well-Worn) (blue)
Revolver Case->Desert Eagle | Corinthian (Factory New) (blue)
Revolution Case->MP9 | Featherweight (Field-Tested) (blue)
Revolver Case->Desert Eagle | Corinthian (Well-Worn) (blue)
Revolver Case->AUG | Ricochet (Minimal Wear) (blue)
Revolver Case->SCAR-20 | Outbreak (Battle-Scarred) (blue)
Revolver Case->SCAR-20 | Outbreak (Factory New) (blue)
Revolver Case->Sawed-Off | Yorick (Battle-Scarred) (blue)
Dreams & Nightmares Case->MAC-10 | Ensnared (Minimal Wear) (blue)
Recoil Case->UMP-45 | Roadblock (Field-Tested) (blue)
Revolver Case->Desert Eagle | Corinthian (Field-Tested) (blue)
Fracture Case->Galil AR | Connexion (Field-Tested) (purple)
Fracture Case->MP5-SD | Kitbash (Minimal Wear) (purple)
Revolver Case->SCAR-20 | Outbreak (Minimal Wear) (blue)
Revolver Case->Desert Eagle | Corinthian (Well-Worn) (blue)
Revolver Case->AUG | Ricochet (Field-Tested) (blue)
Revolver Case->SCAR-20 | Outbreak (Field-Tested) (blue)
Revolver Case->Desert Eagle | Corinthian (Factory New) (blue)
Revolver Case->P2000 | Imperial (Factory New) (blue)
Revolver Case->AUG | Ricochet (Minimal Wear) (blue)
Revolver Case->P2000 | Imperial (Factory New) (blue)
Revolver Case->StatTrak™ Desert Eagle | Corinthian (Minimal Wear) (blue)
Revolver Case->Desert Eagle | Corinthian (Factory New) (blue)
Revolver Case->StatTrak™ Desert Eagle | Corinthian (Minimal Wear) (blue)
Revolver Case->Desert Eagle | Corinthian (Factory New) (blue)
Revolver Case->Desert Eagle | Corinthian (Factory New) (blue)
Revolver Case->Desert Eagle | Corinthian (Field-Tested) (blue)
Revolver Case->StatTrak™ Tec-9 | Avalanche (Battle-Scarred) (purple)
Revolver Case->AUG | Ricochet (Minimal Wear) (blue)
Revolver Case->AUG | Ricochet (Field-Tested) (blue)
Revolver Case->AUG | Ricochet (Field-Tested) (blue)
Revolver Case->Desert Eagle | Corinthian (Minimal Wear) (blue)
Revolver Case->R8 Revolver | Crimson Web (Field-Tested) (blue)
Revolver Case->Desert Eagle | Corinthian (Field-Tested) (blue)
Revolver Case->SCAR-20 | Outbreak (Minimal Wear) (blue)
Revolver Case->AUG | Ricochet (Field-Tested) (blue)
Revolver Case->Desert Eagle | Corinthian (Field-Tested) (blue)
Revolver Case->P2000 | Imperial (Minimal Wear) (blue)
Revolver Case->AUG | Ricochet (Field-Tested) (blue)
Revolver Case->P2000 | Imperial (Minimal Wear) (blue)
Revolver Case->R8 Revolver | Crimson Web (Field-Tested) (blue)
Revolver Case->Desert Eagle | Corinthian (Minimal Wear) (blue)
Revolver Case->SCAR-20 | Outbreak (Minimal Wear) (blue)
Revolver Case->Desert Eagle | Corinthian (Factory New) (blue)
Revolver Case->SG 553 | Tiger Moth (Field-Tested) (purple)
Revolver Case->AUG | Ricochet (Factory New) (blue)
Revolver Case->SG 553 | Tiger Moth (Well-Worn) (purple)
Revolver Case->R8 Revolver | Crimson Web (Field-Tested) (blue)
Revolver Case->Sawed-Off | Yorick (Field-Tested) (blue)
Revolver Case->StatTrak™ AUG | Ricochet (Minimal Wear) (blue)
Revolver Case->P2000 | Imperial (Factory New) (blue)
Revolver Case->SCAR-20 | Outbreak (Field-Tested) (blue)
Revolver Case->R8 Revolver | Crimson Web (Field-Tested) (blue)
Revolver Case->SCAR-20 | Outbreak (Field-Tested) (blue)
Revolver Case->Desert Eagle | Corinthian (Field-Tested) (blue)
Revolver Case->Negev | Power Loader (Minimal Wear) (purple)
Revolver Case->Sawed-Off | Yorick (Battle-Scarred) (blue)
Recoil Case->M4A4 | Poly Mag (Field-Tested) (blue)
Revolver Case->Desert Eagle | Corinthian (Factory New) (blue)
Revolver Case->Tec-9 | Avalanche (Field-Tested) (purple)
Revolver Case->SG 553 | Tiger Moth (Well-Worn) (purple)
Operation Breakout Weapon Case->MP7 | Urban Hazard (Minimal Wear) (blue)
Revolver Case->Negev | Power Loader (Field-Tested) (purple)
Recoil Case->Negev | Drop Me (Well-Worn) (blue)
Snakebite Case->R8 Revolver | Junk Yard (Well-Worn) (blue)
Snakebite Case->Negev | dev_texture (Field-Tested) (purple)
Fracture Case->MAC-10 | Allure (Field-Tested) (purple)
Fracture Case->MAC-10 | Allure (Factory New) (purple)
Fracture Case->P90 | Freight (Battle-Scarred) (blue)
Fracture Case->SG 553 | Ol' Rusty (Field-Tested) (blue)
Fracture Case->P90 | Freight (Well-Worn) (blue)
Fracture Case->Tec-9 | Brother (Well-Worn) (purple)
Fracture Case->Negev | Ultralight (Minimal Wear) (blue)
Fracture Case->SG 553 | Ol' Rusty (Field-Tested) (blue)
Fracture Case->P2000 | Gnarled (Well-Worn) (blue)
Fracture Case->SSG 08 | Mainframe 001 (Field-Tested) (blue)
Fracture Case->P90 | Freight (Minimal Wear) (blue)
Fracture Case->MAC-10 | Allure (Battle-Scarred) (purple)
Revolver Case->P2000 | Imperial (Factory New) (blue)
Revolver Case->AUG | Ricochet (Battle-Scarred) (blue)
Revolver Case->StatTrak™ SCAR-20 | Outbreak (Field-Tested) (blue)
Revolver Case->AUG | Ricochet (Field-Tested) (blue)
Revolver Case->Sawed-Off | Yorick (Well-Worn) (blue)
Snakebite Case->Nova | Windblown (Minimal Wear) (blue)
Revolver Case->XM1014 | Teclu Burner (Field-Tested) (purple)
Clutch Case->SG 553 | Aloha (Field-Tested) (blue)
Spectrum 2 Case->Tec-9 | Cracked Opal (Field-Tested) (blue)
Spectrum 2 Case->AUG | Triqua (Minimal Wear) (blue)
Spectrum 2 Case->Tec-9 | Cracked Opal (Minimal Wear) (blue)
Prisma 2 Case->AWP | Capillary (Field-Tested) (blue)
Prisma 2 Case->AUG | Tom Cat (Minimal Wear) (blue)
Spectrum 2 Case->MAC-10 | Oceanic (Minimal Wear) (blue)
Spectrum 2 Case->AUG | Triqua (Well-Worn) (blue)
Prisma 2 Case->Negev | Prototype (Field-Tested) (blue)
Prisma 2 Case->SCAR-20 | Enforcer (Minimal Wear) (purple)
Prisma 2 Case->AUG | Tom Cat (Factory New) (blue)
Prisma 2 Case->Negev | Prototype (Minimal Wear) (blue)
Snakebite Case->M249 | O.S.I.P.R. (Minimal Wear) (blue)
Revolver Case->Desert Eagle | Corinthian (Factory New) (blue)
Revolver Case->StatTrak™ AUG | Ricochet (Field-Tested) (blue)
Revolver Case->AUG | Ricochet (Minimal Wear) (blue)
Revolver Case->PP-Bizon | Fuel Rod (Battle-Scarred) (purple)
Revolver Case->StatTrak™ Desert Eagle | Corinthian (Factory New) (blue)
Revolver Case->StatTrak™ Tec-9 | Avalanche (Minimal Wear) (purple)
Revolver Case->Five-SeveN | Retrobution (Minimal Wear) (purple)
Revolver Case->AK-47 | Point Disarray (Field-Tested) (pink)
Revolver Case->Five-SeveN | Retrobution (Battle-Scarred) (purple)
Revolver Case->P2000 | Imperial (Field-Tested) (blue)
Revolver Case->Desert Eagle | Corinthian (Minimal Wear) (blue)
Revolver Case->PP-Bizon | Fuel Rod (Battle-Scarred) (purple)
Recoil Case->UMP-45 | Roadblock (Well-Worn) (blue)
Recoil Case->FAMAS | Meow 36 (Battle-Scarred) (blue)
Recoil Case->Dual Berettas | Flora Carnivora (Well-Worn) (purple)
Revolution Case->StatTrak™ MP9 | Featherweight (Field-Tested) (blue)
Revolution Case->StatTrak™ Glock-18 | Umbral Rabbit (Minimal Wear) (purple)
Recoil Case->Glock-18 | Winterized (Field-Tested) (blue)
Revolver Case->P2000 | Imperial (Minimal Wear) (blue)
Revolver Case->Sawed-Off | Yorick (Battle-Scarred) (blue)
Chroma 3 Case->Sawed-Off | Fubar (Battle-Scarred) (blue)
Chroma 3 Case->SG 553 | Atlas (Minimal Wear) (blue)
Chroma 3 Case->Sawed-Off | Fubar (Battle-Scarred) (blue)
Revolver Case->P2000 | Imperial (Minimal Wear) (blue)
Revolver Case->XM1014 | Teclu Burner (Field-Tested) (purple)
Revolver Case->Negev | Power Loader (Field-Tested) (purple)
Revolver Case->R8 Revolver | Crimson Web (Well-Worn) (blue)
Revolver Case->Desert Eagle | Corinthian (Field-Tested) (blue)
Revolver Case->P2000 | Imperial (Minimal Wear) (blue)
Revolver Case->P2000 | Imperial (Factory New) (blue)
Revolver Case->Sawed-Off | Yorick (Minimal Wear) (blue)
Revolver Case->Desert Eagle | Corinthian (Minimal Wear) (blue)
Revolver Case->Negev | Power Loader (Battle-Scarred) (purple)
Revolver Case->StatTrak™ SG 553 | Tiger Moth (Field-Tested) (purple)
Revolver Case->Tec-9 | Avalanche (Minimal Wear) (purple)
Revolver Case->AUG | Ricochet (Battle-Scarred) (blue)

Total Case unboxed: 1500

Item distribution and odds calculation
Rarity name | Yours | Official
-------------------------------------
blue     |            1218/1500 (~  81.2 %) | 79.92%
purple   |             229/1500 (~ 15.27 %) | 15.98%
pink     |              45/1500 (~   3.0 %) |   3.2%
red      |               8/1500 (~  0.53 %) |  0.64%
gold     |               0/1500 (~   0.0 %) |  0.26%
